run_id,stoch_threshold,lookback_bars,atr_multiplier,trades,win_rate,profit_factor,sharpe,gross_pnl,volatility_pct,trend_strength,volume_zscore,range_compression
35,60,20,1.5,31,0.5161290322580645,5.612417539267729,0.4441462597409027,84692.15,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
47,70,20,1.5,33,0.5151515151515151,5.6236160313548345,0.43547957799495,86636.30000000002,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
23,50,20,1.5,29,0.5172413793103449,5.547555786078814,0.4316070763033456,64354.19,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
27,60,5,1.5,33,0.4848484848484848,6.60671059544526,0.4273299380348853,166797.78999999998,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
28,60,5,2.0,32,0.5,6.2655288593074765,0.4222442707851884,136451.81,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
31,60,10,1.5,32,0.5,6.663261516384851,0.4211050458455753,147759.41999999998,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
39,70,5,1.5,35,0.4857142857142857,6.626252417320881,0.4207615113577268,171011.18000000002,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
32,60,10,2.0,31,0.5161290322580645,6.400733890246008,0.4200431684005999,123896.94,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
40,70,5,2.0,34,0.5,6.299764467338928,0.4159666314701799,139889.88000000003,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
59,80,20,1.5,39,0.4871794871794871,5.10245240359747,0.4147972968044236,98345.63,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
36,60,20,2.0,31,0.5161290322580645,6.306762176561154,0.414330232609516,117258.96,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
30,60,10,1.0,34,0.4705882352941176,6.498995259871473,0.4128179284369604,176369.10999999996,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
43,70,10,1.5,34,0.5,6.653052423288281,0.4126154966502571,150613.88,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
44,70,10,2.0,33,0.5151515151515151,6.407729951679242,0.4116719890147209,126327.6,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
51,80,5,1.5,41,0.4634146341463415,6.1961372544090825,0.4111469296169099,214983.31999999995,0.00921901049221604,-0.013740118086399411,-1.0848908551845227,0.2908150338636324
