timestamp,open,high,low,close,volume,ema_fast,ema_slow,stoch_k,stoch_d,y,pred_class
2025-06-28 20:00:00,107225.74,107378.37,107154.62,107296.79,379.24296,106025.36061089714,105018.09120633086,56.7264336642965,51.70704393001849,0,
2025-06-29 00:00:00,107296.79,107500.0,107172.52,107210.78,534.03453,106071.84764576393,105039.90900527284,54.019903767354016,54.68276803361231,0,
2025-06-29 04:00:00,107210.78,107402.18,107205.82,107402.18,340.57663,106124.01754200849,105063.41418929998,61.670234659632605,56.94998580734551,0,
2025-06-29 08:00:00,107402.17,108484.0,107402.17,108477.11,1988.92767,106216.295677616,105097.38131179451,75.82697472478564,60.47357769489403,-1,
2025-06-29 12:00:00,108477.12,108528.5,107650.0,107750.72,1320.45894,106276.46918045459,105123.78269177665,79.89851013420582,64.0731528990848,-1,
2025-06-29 16:00:00,107750.72,107792.05,107316.46,107406.81,1188.5295,106320.79627141716,105146.49938141071,70.73768602176166,66.47995716200604,-1,
2025-06-29 20:00:00,107406.8,108436.47,107250.0,108356.93,1459.20913,106400.64465293022,105178.44396468026,68.09883860950441,68.37535798620736,-1,
2025-06-30 00:00:00,108356.93,108789.99,108255.81,108503.74,1564.16827,106483.11898026628,105211.53148741976,75.25552317156546,71.91462788690927,-1,
2025-06-30 04:00:00,108503.74,108538.76,107481.31,107614.08,1581.27553,106527.47039280487,105235.43744276883,72.66030579986366,73.74630641028112,0,
2025-06-30 08:00:00,107614.07,107964.33,107400.0,107654.2,1242.20442,106571.65586759684,105259.50473189552,53.212969107787806,69.97730547411481,0,
2025-06-30 12:00:00,107654.21,107858.79,106733.33,107580.46,2980.03437,106611.2168139656,105282.59881416522,38.390710553583396,63.05933887734441,1,
2025-06-30 16:00:00,107580.47,107807.94,107116.4,107745.97,1314.82691,106655.71693890812,105307.10997024318,41.281421694952584,58.149961489542896,1,
2025-06-30 20:00:00,107745.97,107764.73,106900.02,107146.5,1071.61541,106674.96333346075,105325.41235859897,36.83869315621765,52.93993724732843,1,
2025-07-01 00:00:00,107146.51,107540.0,107026.93,107192.38,973.46,106695.25418312896,105343.98915105073,30.548883464776168,45.48883062953021,1,
2025-07-01 04:00:00,107192.39,107203.11,106615.97,107178.99,1267.97836,106714.22421516312,105362.24786596565,22.769061210037595,37.17362319789254,1,
2025-07-01 08:00:00,107178.99,107178.99,106301.86,106605.8,1434.81634,106709.97228515673,105374.62151904062,20.144471699469488,31.662206963172817,1,
2025-07-01 12:00:00,106605.79,107179.99,105623.39,105955.18,3974.69567,106680.37258769962,105380.3982203437,16.19701501188884,27.96325770622373,1,
2025-07-01 16:00:00,105955.19,106287.95,105387.68,105398.53,1690.90273,106630.10425092709,105380.57863606169,7.670766727273855,22.36148187827727,1,
2025-07-01 20:00:00,105398.52,106100.0,105250.85,105681.14,1163.77127,106592.88996657702,105383.5692963994,7.651579636036462,17.49696295824707,1,
2025-07-02 00:00:00,105681.13,106216.08,105100.19,106194.7,1453.64233,106577.27467377008,105391.64024867403,14.046688249378875,14.74659708901419,1,
2025-07-02 04:00:00,106194.7,107186.78,106131.55,107080.0,1903.51108,106596.98939244576,105408.43984818971,31.825819833447536,16.256056859582515,1,
2025-07-02 08:00:00,107080.0,107860.23,107080.0,107479.99,2147.6808,106631.61686725181,105429.05228751121,50.84280789546523,21.372446225581808,1,
2025-07-02 12:00:00,107479.98,108759.2,107186.1,108737.74,3227.14121,106714.20993128115,105461.97455330711,74.0929336243942,31.021765994332696,-1,
2025-07-02 16:00:00,108737.75,109730.0,108650.97,109676.14,5656.10907,106830.36405162307,105503.90654780157,89.1530581541199,44.60214789880704,-1,
2025-07-02 20:00:00,109676.14,109676.14,108720.0,108849.6,3303.81143,106909.54977508883,105537.197029913,93.07809091407648,58.83989977848038,0,
2025-07-03 00:00:00,108849.59,109115.03,108530.4,108628.21,1439.99562,106976.94821528143,105567.95337787407,85.34101111420705,70.72228692261841,0,
